date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" July 20, 2020",Senior Data Scientist," Tysons Corner, VA ",Work culture is pretty toxic,"Work culture is pretty toxic. Junior staff are asked to put in extra hours but not allowed to bill overtime. Once you get to management, you have to be over 80% utilized in addition to putting in weekend hours to fulfill business development requirements.",4,4,3,3,3,3
" July 20, 2020",Acquisition Analyst," Lexington Park, MD ",Company culture,"Booz Allen Hamilton is a great company, but depending on the location, they culture can be very great or very poor. I have worked in 2 locations and have had a very positive experience and a very negative one.",3,3,2,3,2,1
" July 4, 2020",Lead Technologist," McLean, VA ",Good company to work for,"Good company. Good benefits. Experience depends on your contract and team. Flexibility to change both.
Benefits are not industry leading. Company name goes far in DC area. Salary is bit on lower side versus other firms.",5,5,4,5,5,5
" June 29, 2020",Senior Consultant," Washington, DC ",Great opportunity,"Was an amazing opportunity to work for this organization. The work was meaningful and had impact. When free to pursue other areas, the job stayed interesting. If constricted to a operation, you can feel stagnant.",4,5,4,3,3,4
" June 27, 2020",Recruiting Manager," Washington, DC ",College Grad/Join Booz! Mid Career/Run far away!,"Great college grad perks, training , upward mobility and pay. However when you put 5,6,10 yrs under your belt and receive glowing reviews, many employees still are not recognized for their achievements, contribution and commitment to the company.",1,2,3,1,1,1
" June 25, 2020",Specialist Manager," McClean, VA ",ZERO Support from MGMT to grow within the company,"Not a good place to work if you are not in the IT field. Lot of Managers work from home, so there is not enough direction & engagement on projects; Professionals with innovative ideas are shot down very quickly: Lot of projects are staffed with Managers favorite people, the promotions are also given the same way.",2,2,2,2,2,2
" June 25, 2020",Associate," Chantilly, VA ","Large firm, but still a place to belong","In light of the COVID restrictions, BAH has really taken the lead on supporting employees, families, and communities. Leadership at every level has been truly engaged, and has wasted no time showing that we can support our people and still deliver to our clients, and grow our business. I've always thought that ""doing good"" is ""doing good business,"" and BAH is a place where that belief fits in perfectly. Health issues and social justice issues have both driven broad changes consistent with the Firm's values, and I'm proud to feel like a part of this community.",5,5,5,4,5,4
" June 4, 2020",Project Manager/capital Planning and Investment Control Team Lead," Washington, DC ",Great place to work,"Great place to work they have flexible jobs, diversity, education benefits, work from home, telework etc. End of the year bonus checks, family oriented work place.",4,0,0,0,0,0
" June 1, 2020",Full Stack Developer, District of Columbia ,Good job for starting out,"I started at this job and moved up relatively fast and learned a lot. If you don't mind government contracts it's great. I still work at the company. Cons: work life balance is not good on many contracts, and it is very difficult to find projects using new technology (I was lucky enough to be on one) Pros: job security, lots of tools for learning new things",4,3,4,4,4,3
" May 29, 2020",Lead Engineer," Chantilly, VA ","some very smart people, pay isn't all that great, but you can learn new skills","nice culture, challenging tasks if you're on a leading edge project otherwise it could be a typical day at work. great place to pick up new skills if you're on the right projects. pay isn't the greatest, but it's not stressful either at times.",5,5,3,4,4,4
