date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" June 8, 2020",Systems Engineer," Ft. Bragg, NC ",Good place,Good opportunity to learn and challenge ones self to adapt to customer needs and requirements. If training is needed it is provided and cross training is important so the growth opportunity is good.,4,3,4,3,2,3
" July 16, 2020",CACI has a very strong values and works as meritocracy. As people prove the, CACI has a very strong values and works as meritocracy. As people prove the ,Caci,"CACI has a very strong values and works as meritocracy. As people prove their value to the programs they support their ability to advance endless.

Have been part of the company for over 10 years so clearly enjoy working here.",5,5,5,5,5,5
" July 15, 2020",Operations Language Analyst," Augusta, GA ",Large reliable company that cares,"CACI has been a great company to work for. The medical benefits are VERY good and very affordable, they have parental leave, decent paid time off and federal holidays, and my management has been nothing but caring and supportive when I went through some difficult times. They made sure I was taken care of and could focus on my personal issue so I could resolve it and come back to work ready to go.",5,4,5,4,5,5
" July 14, 2020",SPAWAR Maritime Medical Automated Test Lead," Norfolk, VA ",CACI is a great company.,"I worked for CACI for about 8 years till contracts ran out. The atmosphere was pleasant although demanding. There was NEVER a dull day, I was excited to work every day. If I had it to do again, I'd be there in abheart beat.",5,4,5,4,4,5
" June 25, 2020",Principal Program Analyst," Arlington, VA ",Great culture.,Management is very supportive. I worked for CACI for almost 20 years and during that time I worked on several large contracts. I always got the support that I needed.,5,5,4,4,4,5
" June 16, 2020",Systems Integrator," Chantilly, VA ","Challenging, variety of projects available, mobility","CACI has proven to be a great company to work for. I am full time at a government client site and therefore the experience is determined by that factor. The work is rewarding, yet very challenging and requires daily learning, flexibility and collaboration with team members as well as the government.
I've been given the opportunity to learn software platforms, Visio, SharePoint and other tools and they have been very encouraging towards these endeavors, even offering online or vendor training to support.",5,5,4,5,4,5
" June 12, 2020",Technical Support," Tampa, FL ",Worked fully remote and had flexible hours,I worked fully remote and had flexible hours while I was attending school full time. There was great communication and support from the management team.,5,5,5,4,5,5
" June 5, 2020","Federal Background Investigator, Level 4"," Chantilly, VA ",Professional. No nonsense,Expect to give maximum effort and be professional at all times. No nonsense employer with careers in multiple facets of government work. Advancement opportunities from within.,4,4,4,4,3,3
" June 3, 2020",Warehouse Specialist/ Medical Logistics Technician," San Antonio, TX ",Caci,"My experience while working for CACI has been rewarding. I was given given an opportunity to work doing something that truly impacts lives. Hard work is definitely recognized and rewarded at CACI. The work environment fosters productivity and inclusion. One family, one mission!",5,5,5,5,5,5
" May 29, 2020",Acquisitions Analyst, Maryland ,Good or bad,"Management makes many promises they cannot keep, managers can be very hostile, toxic, and petty. There are some good eggs but if you get stuck with a bad one things will never improve.",2,3,2,2,1,1
" May 28, 2020",Sr. All Source Analyst," MacDill AFB, FL ",its a job,"its a government contracting job with all the fun of one. team level leadership is good, but they are also in the same boat as you. higher ups dont really seem to care about conditions that much. its a huge company.",2,3,2,2,1,1
" May 28, 2020",Medical Logistics Technician," N Charleston, SC ",Worst Management Ever,"There was absolutely no oversight from corporate at the building i worked in, therefore the manager of the building had complete reign of his own little fifedom and there was nothing anyone could do. Employees would give the manager a horrible review every year and corporate was supposed to respond but when my managers boss is an old military buddy of his, well then everyone is S.O.L.pcompletely",1,4,3,1,1,1
" May 27, 2020",Program Manager," Arlington, VA ",Productive and Collaborative Work Environment,"Excellent company to work for. Great benefits. Continuous learning environment.

As a manager, I followed corporate guidelines and created metrics for the team to follow for continuity.

Enjoyed all parts of the job.",5,5,5,5,5,5
" May 25, 2020","Applications Systems Analyst/Programmer, Lead"," Fairfax, VA ",Always ethical and seeking to provide quality work to the customer.,"A typical day at work was to have a morning Scrum meeting, then design and program all day. I learned alot about working on a large scale system. Management was always ready and able to step in with solutions.",5,5,5,5,5,5
