date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" July 17, 2020",Quality Assurance Analyst," Kansas City, MO ",Luke warm,"I got a background check after working for the company over a year. They were in error. I got my Gov clearance back, they replaced me with in 48hrs. I guess someone's kid needed a hand up.",3,4,4,2,5,5
" July 15, 2020",Analyst," Tampa, FL ",Military contractor,"Decent pay & benefits, but there is little opportunity to truly advance within the company structure as they strive to simply fill manpower needs for the military. Once you're in a billet there is little room to grow. Indistinguishable from dozens of other military contractors.",4,4,4,2,1,4
" July 1, 2020",Drafter II," North Charleston, SC ",productive and fun place to qork,always something new to learn and a chance to advance. Bosses were always understanding and would work with you if you had any issues. Team work was great everyone was willing and able to help other.,5,4,4,4,5,5
" June 25, 2020","Procurement Associate, Materials Procurement Group (MPG)"," Knoxville, TN ",No heart,"In defense, it’s difficult to convey a heart to employees with its size. Managers that care are really hit or miss. Hard not thinking their image of diversity and commitment to worthy causes does not necessarily apply internally. Managers need better training on caring.",3,3,3,3,2,2
" June 24, 2020",Security Analyst Sr," Chantilly, VA ",Great pay but overwhelming,A lot of contracts to cover. High turnover. Pay is good. Schedule is flexible for the most part. Good people and communication. Work programs are challenging but rewarding.,3,4,4,4,4,4
" June 24, 2020",Administrative Assistant," Fort Belvoir, VA ",Saic,"This firm has been a joy to work for. The staff, the managers and division chiefs are inspiring. The flexibility to explore new tasks and train is great. I am grateful for my time here. Thank you",5,4,5,4,5,5
" June 17, 2020",Principal Intelligence Analyst," Fort Meade, MD ",Interesting Place to work,As an employee who worked off site the hardest part of the job is communication. Sometimes working offsite meant that you have great job satisfaction and working non-stop but advancement within the company was a very difficult aspect.,3,3,3,2,2,3
" June 5, 2020",Senior Technical Services Analyst," Redstone Arsenal, AL ",Great Company,Ive been with SAIC for almost two years now. There really isnt anything bad I can say about my experience so far. They take care of me and the work is rewarding.,5,5,5,5,5,5
" June 2, 2020",Recruiter," Chantilly, VA ",great work-life balance,great for flexibility and work&life balance but unclear communication from the management time to time. Overall good experience and good to move up for opportunities.,4,5,4,3,3,3
" May 26, 2020",Office Manager," El Segundo, CA ",It’s Okay,The medical benefits are not as good as my last company and the pay is not that great either but other than that I can’t Complain I haven’t met my boss and coworkers yet in person,2,2,1,4,4,2
" May 26, 2020",ISS Systems Safety Engineer," Houston, TX ",Productive and professional environment located next to JSC,"Great company and management, positive work environment, very interesting projects and work assignments, professional yet fun work culture, surrounded by strong and intelligent team embodied thinkers.",5,5,3,3,4,4
" May 25, 2020",Engineering Technician II," Charleston, SC ",Great Opportunity to grow & learn. Management pushes you to be better,"I would say the typical work day is early morning shift to a early evening out. Other experience employees are helpful and will teach you the daily task until you're experience enough to do on your own. Management is pretty standard in making sure you stick with your task throughout the day and make sure your area is clean at the end of the day. I would say the most hardest part is learning but the staff makes it enjoyable to learn. Everyone pretty much make sure everything is professional, On time, accurate, and neat to the quality that the customer is looking for.",5,5,5,5,5,5
" May 22, 2020",Technical Services Manager," San Diego, CA ",Worked at SAIC for 17 years. Great company with a outstanding mission.,"I worked at SAIC for 17 years. During that time, I worked with some of the best and brightest minds in the IT world, developing innovative solutions, delivering IT modernization and transforming the End User Experience. I will never forget the relationships and teams we built there. I was given opportunities to work on cutting edge technology and was well paid to do it.",5,4,5,4,5,4
" May 20, 2020",Senior Training Advisor. Senior-Advisor/Instructor,Advisor/Instructor (Current Employee) ,People services,SAIC is a great services and some production company. It's senior leadership cares and talks a great game in the care of it's employees. It's compensation is and benefits are within industry standards along with paid time off.,5,5,5,5,5,5
" May 19, 2020",Scrum Master / Project Manager," Millington, TN ",A very good large-scale company to work within,"I enjoyed the working environment, people, and style that this company employed. While there was a strong focus on client satisfaction, this company stressed even greater support for professional development and personal work life balance.",4,4,3,3,3,3
" May 13, 2020",Program Management Analyst," Alexandria, VA ",Professional,I enjoy working here. It is a fast paced environment. Mission focused. Supporting the Executive Director and team has been a great experience and then got promoted to work for the PMO team.,4,0,0,0,0,0
" May 10, 2020",Scanner," Fort McNair, DC ",Advancement,"Management ensures your success
Training on the latest equipment and software
Upward mobility
Yearly raises
Bonuses
Leave
Webinars
Learn to use the overhead camera for over sized documents",5,5,5,5,5,5
" May 7, 2020",Logistics Analysts," Huntsville, AL ",Company does not investigate GOV Agencies,"Was terminated with no reason or explanation. Was not allowed to talk to management, took my contractor badge and escorted from the contractor building. I am a retired LTC with more than honorable positions. Danger, danger, danger!! I feel that once the the money was obligated to the contract they let me go. Feeling used!!",1,3,4,1,1,1
" May 4, 2020",Systems Engineer Sr- Cybersecurity, Cybersecurity (Current Employee) ,Nice place to work,Nice place to work. Most employees are helpful. Project Manager keeps everyone on the team informed of what goes on in the company. Location of work is good and not too far of a commute.,4,3,3,3,3,3
" May 2, 2020",ENDEVOR Administrator - Lead, Lead (Current Employee) ,overall rating is average,"overall rating is average compared to other employment. i enjoy my work and co workers. however, my current leadership is lacking in the ability to allow me to progress and move forward.",3,3,3,3,3,3
" April 28, 2020",Administrative Assistant II," Montgomery, Alabama 36106 ",Flexible schedules and great benefits,SAIC is a great place to work. They offer flexible scheduling as well as great benefits at a reasonable price. Career advancement opportunities are a plus...a very diverse and inclusive culture.,5,5,5,5,5,5
" July 17, 2020",Quality Assurance Analyst," Kansas City, MO ",Luke warm,"I got a background check after working for the company over a year. They were in error. I got my Gov clearance back, they replaced me with in 48hrs. I guess someone's kid needed a hand up.",3,4,4,2,5,5
" April 26, 2020",Senior Law Enforcement Advisor Level 15," Chantilly, VA ","Professional, challenging, productive, and rewarding work.","The work is rewarding and aligns closely with my subject matter expertise. The Covid 19 pandemic adversely impacted the project to which I was assigned. However, the company provided effective opportunities to work remotely.",4,4,4,3,3,3
" April 23, 2020",Cyber Security Analyst Principle Sr," San Antonio, TX ",Excellent Company,"This is my third stint with SAIC - the people, the management, the opportunities always bring me back. I never leave intentionally, and always look for an opportunity to come back.",5,5,4,4,4,5
" April 11, 2020",Inventory Management Specialist I," Havelock, NC ",Team Oriented and Positive,"Throughout my years of working this is by far the most team oriented job I have every worked. Everyone plays a role, no matter how small to get the to goals. Communication is wonderful between management and staff. Management talks to you on a personal and professional level, making the job easier for me. Opinions are respected, even when not agreed. The pay is in the middle, good benefits, but no opportunity for advancement within local business, but company overall there is, just have to be willing to move. Pay is what would have me pursue another job, but overall I wouldn't leave for any other reason than that.",5,5,4,2,5,5
" April 8, 2020",Logistics Principal," Redstone Arsenal, AL ",It's a job. A very drama filled stressful JOB.,"If you want
Drama - you got it
Back stabbing talking behind your back - you got it
Jealousy - you got it
Management that uses your knowledge and qualification to help you succeed and grow - not happening!
Worst Experience of my working career",1,2,4,1,1,1
" March 31, 2020",Chief Cyber Engineer/Architect," Augusta, GA ",Great company,"SAIC provides many opportunities to excel and values their employees. SAIC offers remote positions, flexible hours, competitive pay, and opportunities for education/advancement. I have become a much more technically rounded leader during my time here.",5,5,5,5,5,5
" March 30, 2020",Senior Program Analyst," Washington, DC ",Good company,Working for the FAA. Like my job. Company has been very fair in raises and flexibility as I am a single parent. They reward a job well done. Occasional bonuses as well.,5,5,5,5,5,5
" March 30, 2020",SAP Solution Architect," Huntsville, AL ","If you work in Alabama office, you better be local Alabama citizen or you will not be accepted to work there","Serious chaos, they use government funding for contractors and spread against their own local Huntsville group of people even though they have no skills to support the enterprise program, and constantly justify the need to keep the old systems and old technology that is a breach of DOD security standards and totally misuse the government money to implement the modern secured DOD support system for GCSS-Army. Serious issues there with discrimination and abuse of power, abuse of project funding, with number of tries to do Blueprint and failure to deliver meaningful or efficient and true Army system and product.",1,1,3,1,1,1
" March 30, 2020",Field Engineer Supervisor," Tampa, FL ",Great experience,"40 hour week with plenty of opportunities for Extended Work Week.
Great people to work with.
Constant changing demands keep daily work from being repetitive.
Advancement within company is good with promotion within.",5,5,5,5,4,4
" March 29, 2020",Tier I Service Desk Analyst," Washington, DC ",Overall,I love working for SAIC. The company is very friendly and works perfectly around your schedule. They offer teleworking which is wonderful for parents who are t able to work in the office.,5,5,5,5,5,5
" March 27, 2020",Customer Service Representative," Broomfield, CO ",It was a stable work environment with a good manager.,It was a decent experience though my coworkers generally missed the mark. Less than ideal team members which were sad because management was good and the premises were functional and clean.,3,3,1,1,3,3
" March 27, 2020",Communications Specialist," Chantilly, VA ",Good place to work,"This is a good place to work for career experience. However, communications and guidance between program management and onsite employees could be better.",3,4,3,2,2,2
" March 25, 2020",System Analyst," El Paso, TX ",Great Company to work for,"Ability to move jobs or locations within the company. Ability to climb the ladder from team member to team leader, manager, etc. If you are motivated you can work to grow your contract and expand your teams responsibilities. The CEO is great and is involved in communications and keeping everyone up to dates. As a contractor there are many good and some not so good companies to work for, SAIC to me is a great company to work for.",5,5,5,5,5,5
" March 24, 2020",Associate Engineer," Huntsville, AL ",It's a job,"The work was incredibly boring and frustratingly repetitive. I was never concerned about job security and the pay and benefits were average for the area. For the particular job I was doing they did not have the proper tools or processes in place for me to be successful, and they did not appear to be moving in the direction to get the proper tools or processes in place either. The work schedule was nice though.",3,5,3,3,2,2
" March 23, 2020",Marine Mammal Trainer," Bangor, WA ","Poor leadership, morale, and work environment.","The animals are great, but the schedule offers zero flexibility. Not a career position. Management is disorganized and unsupportive of advancement. They offer benefits like tuition assistance and training assistance, but when it comes to obtaining the benefits, good luck. Management makes this impossible through their lack of support. Supervisors have little leadership training, and it shows. May be a place to get your foot in some door or gain certain experience. But always be looking. They make it known that every employee is disposable.",2,1,1,1,1,1
" March 23, 2020",Help Desk Team Lead," Huntsville, AL ",People-Oriented,"SAIC is a large company that manages to put employees first while providing superior service to our customers.

The most enjoyable part of the job is the professional and social interaction with my co-workers.",4,5,4,4,4,5
" March 23, 2020",Subcontract Administrator," San Diego, CA ",Stay away. Look elsewhere.,"Awful, you don’t want to work like this. Management is awful now as the vast majority of the managers have left for other companies. I’d look at those companies like I did and am happy now",1,1,2,1,1,1
" March 23, 2020",Principal Network Engineer," Washington, DC ",Just like any big corporation,"SAIC has its positives and negatives, nothing stands out from either category. It's a company that is getting bigger with the addition of two companies that it purchased recently, Engility and Unisys. I've worked at both if these companies in the past, and those companies suck big time. Let's hope the workplace habits of those companies does not seep into the SAIC culture.",4,4,4,3,2,3
" March 18, 2020",NASA Goddard Senior Mechanical Engineer," Greenbelt, MD ",Miscommunication,Wrongfully terminated due to miscommunication in relocation expectations. A really sad story I had to reach out to multiple professionals to deal with how they treated me,1,1,5,1,1,1
