date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" June 29, 2020",Senior Consultant," Washington, DC ",Great opportunity,"Was an amazing opportunity to work for this organization. The work was meaningful and had impact. When free to pursue other areas, the job stayed interesting. If constricted to a operation, you can feel stagnant.",4,5,4,3,3,4
" June 27, 2020",Recruiting Manager," Washington, DC ",College Grad/Join Booz! Mid Career/Run far away!,"Great college grad perks, training , upward mobility and pay. However when you put 5,6,10 yrs under your belt and receive glowing reviews, many employees still are not recognized for their achievements, contribution and commitment to the company.",1,2,3,1,1,1
" June 4, 2020",Project Manager/capital Planning and Investment Control Team Lead," Washington, DC ",Great place to work,"Great place to work they have flexible jobs, diversity, education benefits, work from home, telework etc. End of the year bonus checks, family oriented work place.",4,0,0,0,0,0
" June 1, 2020",Full Stack Developer, District of Columbia ,Good job for starting out,"I started at this job and moved up relatively fast and learned a lot. If you don't mind government contracts it's great. I still work at the company. Cons: work life balance is not good on many contracts, and it is very difficult to find projects using new technology (I was lucky enough to be on one) Pros: job security, lots of tools for learning new things",4,3,4,4,4,3
" May 12, 2020",Data Scientist and Software Developer," Washington, DC ",You are a consultant and if the work ends-no one helps you find other work,"This isn't a company you want to work for right out of college since it's all consultant work and when task end on contract, no one will help you find work within the company. You have to re-apply for the jobs you find yourself in the company. They will allow you a 2 month or so wait in between but it really depends on your manager and if you have a champion. You may have to take any job just to stay billable and not the job you were originally hired for. If they aren't the prime contractor, you may be cut by the prime if they want to fill the positions with their own people. Not much diversity but they are trying to change that.",3,4,3,2,2,2
" April 22, 2020",Principal Director," Washington, DC ",Management Consulting,Booz Allen is a wonderful company to be affiliated with that lives up to its purpose and values. More focused on Federal Government consulting and may not be a good fit for job seekers that don;t have that type of experience.,4,5,5,4,2,2
" April 20, 2020",Transformed a Regionally Aligned Intelligence Analyst," Washington, DC ",employee fit to position assigned,"Post hire, one may then be placed into a position of best fit for both the individual and the firm in a contract team an on a particular task order within that team. Helps ensure success for the new hire.",5,5,5,5,5,5
" April 20, 2020",Senior Lead Technologist," Washington, DC ",Challenging Projects with Bright Colleagues,"If you want to work in technology consulting for the government, Booz Allen is the place to do it. With a presence in nearly every agency and department, chances are you can find a fit at Booz Allen. Be prepared to work hard though--the projects are demanding and, depending on level, you're expected to strike a balance between individual contribution and people leadership.",4,3,4,5,3,5
" April 17, 2020",Anonymous to protect identity," Washington, DC ",Not a good fit for those that need quiet environment to work,"""Hoteling"" is horrible. At Booz Allen, only the highet level folks actually have their own cube or space, the rest of us lowbies fight for open seats. I never could find a seat and could not focus. Booz has gone on a major hiring spree for younger professionals fresh out of college, which is fine until you are seated beside a team of them. It is as if every young group of professionals I encountered in the building would walk around in hoards together screaming and clowning and talking about partying at the top of their lungs. Impossible to concentrate in these environments.

My personal manager could not have cared less about me from day one, never gave me the time of day, never told me what to do or what needs to be done. Unbelievable really. I don't think my distaste is as much for Booz Allen as it is for my specific Manager and my team. It has just been a really bad experience, I regret leaving my previous employer to come here. Be careful chasing the money people, sometimes you make a lot more to be a lot more miserable. Blessing in disguise that layoffs are coming in hard. Hopefully I can get laid off and collect unemployment because I am terribly unhappy here and it has sapped my confidence in a matter of months.",3,4,4,4,1,1
" March 31, 2020",Systems Engineering Consultant," Washington, DC ",Great place to work,"I highly enjoyed my time with Booz Allen Hamilton. The firm gives you the tools to succeed on your projects and allows you to grow in the industry. I was able to take advantage of their in house trainings for ITIL and they have many others that are fully paid for that will help anyone advance quickly in their industry of focus.

The benefits package at Booz Allen has been one of the best I have seen amongst any other firm out there. They make sure to take care of their employees and that they truly have a great work life balance.

The work culture is fantastic, regardless of age and experience everyone there has a entrepreneurial mind set and is out going, you can’t help to be out going. Everyone I worked with was friendly and was willing to help me with any questions I had. The managers also recognize anyone for their hard work ethic and they make sure to move you up in the organization.

I would highly recommend to anyone to work for Booz Allen Hamilton.",5,5,5,4,5,5
