date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" April 21, 2020",Senior Associate/ ServiceNow Knowledge Lead," Washington, DC ",Good workplace,A good company if you are looking into Federal Contracting. My work at Jacobs was in their FNS business. The focus is on U.S. government national security-focused agencies.,4.0,4,3,3,2,3
" February 21, 2020","Senior Program Manager, Security Advisory Services"," Washington, DC ",Multinational company on the rise. Great place to work.,Jacobs provides many opportunities for its' employees covering a wide gambit of industry. These range from defense/intelligence to formula one racing. The breadth of opportunities make it a fun place to work.,5.0,5,5,5,5,5
" November 4, 2019",Sr. Talent Acquisition Consultant (Sourcer)," Washington, DC ",Great Company,The hiring managers and talent acquisition staff are some of the best I have worked with. The staffing and recruitment process was seamless from inception to hire.,5.0,5,5,3,5,5
" September 29, 2019",Project Manager," Washington, DC ",Great place to work,"Growing company with many advantages and opportunities.
The company invest in its employee. Fun place to work.
New ideas and new horizons. Management has a deep stake in overall employee outcome.",5.0,5,5,5,5,5
" May 27, 2019",Executive Real Estate/ Construction Director," Washington, DC ",Working at Jacobs,No life work balance . Meeting takes all day long and poor planning and no job security with jacobs. Now Jacobs is getting worse with the new management,1.0,1,1,1,1,1
" April 23, 2019",Director," Washington, DC ",Struggling to find itself,"Jacobs NSS describes itself as the best kept secret in DC. But keeping yourself a secret while doing BD is counter. doesn't work. Did not work.
Secondly, there is no culture identity within the company. People came to work. It was just a job. There was no loyalty nor corporate identity.",3.0,3,4,3,3,2
" January 22, 2019",Architectural Project Manager / Project Architect," Washington, DC ",Provide fun work place environment,": No comment.
: Had a great memories with the company.
: Great people
: Great location
: Great benefits
: Great Clients
: Great work schedule
: Overall great company",4.0,3,4,4,3,4
" January 3, 2019",Construction Manager," Washington, DC ",Great company to work for,Learned construction management and able to acquire degree in construction management. Tuition reimbursement allowed me to grow in the construction industry. Government projects allowed me to develop great construction management techniques. Typical day included working on project site with multiple disciplines from demolition to complete buildout of project.,5.0,5,5,5,5,5
" March 13, 2018",Buildings and Infrastructure Federal," Washington, DC ",The merger with CH2M is rough,"People are not the priority, reducing cost is on everyone's mind. Very insecure management. They have forgotten that the company is run on the backs of their people. Bad things happen when companies miss that lesson.",2.0,3,4,2,1,1
" September 23, 2017",Manager/Sr," Washington, DC ",Excellent Company,The type of work I do and company's core mission did not enable moving onto another assignment - if I did I would still not be searching for another assignment,5.0,0,0,0,0,0
" July 22, 2017",Sr. Analyst, DC area ,Productive and great place to work,"Solid company with an excellent track. The staff is very knowledgeable and helpful, good benefits and great working place. It has branches all over the world, making relocation easy.",5.0,5,5,5,5,5
" June 5, 2017",IT Installation Manager," Northern DC, DC ",Decent place to work super fast paced,Super fast pace environment to work in and can be stressful. High amounts of work coming in and going out. Very demanding customer. Schedule is very busy yet lots of overtime work and you have the potential to make very good money.,5.0,5,5,5,5,5
" January 5, 2016",Human Resource," Washington, DC ",Flexible hours,"Half day Fridays, flex hours, good pay, not much for career advancement. New CEO and reorg should be a good thing for future employees.",4.0,4,4,3,3,2
" June 10, 2015",GSA Representative," Washington, DC ","Productive, professional, safety first enviroment.",Typically I worked on several projects as the only Jacobs employee with very little or no supervision. On several projects I was placed on the job as a trouble shooter to solve problems that hampered the job progress. Through interaction with the contractor my technical knowledge improved. Management provided 100 percent at all times. The most enjoyable part of the job was the satisfaction of successful completion of assignments that were initially very hard to solve.,5.0,5,5,3,4,4
" April 25, 2015",Planner, Washington ,Great entry level company with travel opportunities.,Entry-level salary levels and responsibilities are good. The ability to travel and relocate for positions all over the world is a perk.,3.0,3,3,2,2,3
" October 9, 2014",Systems/Network Engineer," Washington, DC ",Hard working environment but you are among friends,"The company compensates their employees very well. They also value loyalty, and integrity. They take the time to recognize employees who have been with the company for a long time. Also, even though I have never interacted with Jacobs management, I can say the human resources department is extremely helpful, personal, and always happy to help an employee. It's a great company to work for.",4.0,4,5,5,3,4
