date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" March 30, 2020",Senior Program Analyst," Washington, DC ",Good company,Working for the FAA. Like my job. Company has been very fair in raises and flexibility as I am a single parent. They reward a job well done. Occasional bonuses as well.,5,5,5,5,5,5
" March 29, 2020",Tier I Service Desk Analyst," Washington, DC ",Overall,I love working for SAIC. The company is very friendly and works perfectly around your schedule. They offer teleworking which is wonderful for parents who are t able to work in the office.,5,5,5,5,5,5
" March 23, 2020",Principal Network Engineer," Washington, DC ",Just like any big corporation,"SAIC has its positives and negatives, nothing stands out from either category. It's a company that is getting bigger with the addition of two companies that it purchased recently, Engility and Unisys. I've worked at both if these companies in the past, and those companies suck big time. Let's hope the workplace habits of those companies does not seep into the SAIC culture.",4,4,4,3,2,3
" February 21, 2020",Anonymous," Washington, DC ",Demanding,Over all an average place to work. This can be a demanding place with many taskers that require working more than a 40 hour work week. At times it can require working late into the evenings and some weekends.,3,3,3,4,3,3
" February 7, 2020",EA, District of Columbia ,Changing constantly,this used to be the place to work (i.e. before 2016) but as they started acquiring new companies and bringing those other employees on and letting loyal competent SAIC employees go....things began to go downhill. It is indicative of current culture but I always hoped this company would not give in to the trends. that did not happen. flex time and remote work is sometimes allowed. workloads are heavy!,3,2,4,2,3,3
" January 29, 2020",Team Lead - Virginia USA, Virginia USA (Former Employee) ,Fun and long hours required traveling,I learned to manage my time and be productive. I enjoy traveling and meet new people. Nice work place and culture. Long time away from family and friends.,5,5,3,3,5,5
" January 11, 2020",Network Engineer," Washington, DC ","\productive working environment. great people, benefits are great, just re enrolled. I'm happy to explore other areas within DG to continue to bui","productive working environment. great people, benefits are great, just re enrolled. I'm happy to explore other areas within DG to continue to build my career",4,4,4,4,4,4
" January 2, 2020",Senior Telecommunications Engineer," Washington, DC ",Various Opportunities,"SAIC has a plethora of opportunities. However, I didn't like how they handle my contract. We got laid off with no advance notice which left a bad taste.",4,4,4,4,4,4
" December 20, 2019",Library Associate/Data and Metrics Associate/Data Archivist," Washington, DC ","Excellent people and a good working environment, with a hands-off aproach","I worked with great people who fostered a good environment, provided great feedback on my work, and let me know to start looking for a new job with ample notice. Not so good about finding people new work though... but my project, and team, were the tops.",4,5,5,3,5,5
" November 16, 2019",CONTRACTOR, Strategic Capabilities Office Washington D.C. ,Productive and challenging work environment.,Productive and challenging work environment that offers opportunities to utilize experience and skills while learning new and inventive ways of task accomplishment.,5,5,5,4,4,4
