date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" July 17, 2020",Architectural Designer," Cincinnati, OH ","interesting place, fast pace enviroment, bad work load management","Large company, impersonal, difficult to advance career-wise. Good pay while they have projects, but they lose you as soon as work dries out - no regrets on management part.",4.0,1,4,2,3,3
" July 17, 2020",Systems Analyst I, Florida ,Middle of the roas,Need more focus on benefits. The new corporate culture preaches caring for employees and then raises benefits costs yearly. Quick to let you know that taking leave if you contracted COVID-19 it would cost you PTO.,3.0,3,3,3,3,3
" July 16, 2020",Document Control Specialist," Charleston, SC ",Great professional people to work with.,"Hard work, education and experience is required.
Great training, and abilty to learn new processes.
Workplace is demanding, generally 10 hour days. Overtime was provided.
Culture of professional, pleasant associates and managers.",4.0,5,5,3,5,5
" July 14, 2020",Driver Escort-General Maintenance,General Maintenance (Former Employee) ,Family oriented,"Good company, great benefits, family oriented, great pay, steady work, open door policy, great employee's, ability to advance throughout company, and.",3.0,3,4,4,3,3
" July 13, 2020",Field Engineer," Fort Huachuca, AZ ",This company changes policiea for individuals and alao changes policy daily. Absolutley no consistency!,This is the worst company I have ever worked for. I will never work for Jacob's again. It is a government contract and they do everything possible to undermine the Government personnel and cause conflicts. They thrive on drama.,1.0,1,1,1,1,1
" July 9, 2020",Network Administrator II," Fort Walton Beach, FL ",Very inclusive and takes care of their people.,"This companies compensation package was far better than every other job opportunity I had when I joined them a little over a year ago. They also have a very inclusive work environment in which everyone can feel safe. They really shined during the pandemic when they allowed us to telework to help prevent the spread of the virus and ensure everyone's safety. They even provided free training during this time, and I'm not talking about a 15 minute powerpoint that someone threw together, I'm talking official CCNP level training. I highly recommend this company to anyone looking for a lifelong career.",5.0,5,5,5,5,5
" June 29, 2020","Project Engineer, Airports"," Bedford, NH ",Casual work environment with friendly people,"Overall a very nice place to work. Friendly and helpful coworkers. Work can be mundane, but such is the case with any job. Very understanding management, but since it is a huge company, once issues extend beyond your office, it can be very difficult to get them resolved.",4.0,3,3,4,4,4
" June 24, 2020",Civil/Structural Engineer V," Houston, TX ",Productive and fun workplace,"Jacobs is a productive and fun work place. Amazing people, flexible schedule ,. the company cares for its employees and proves that in several aspects.",5.0,5,5,5,4,4
" June 21, 2020",Structural Designer," Acworth, GA ",Cruel Management,Please if you want to ladder your career go away as faster as you can from this place. Opportunity to grow was not possible. Communication with employee won't be available.,1.0,2,4,1,1,1
" June 12, 2020",Laborer to All Crafts and Disciplines for a Large Project," Geismar, LA ",Well managed and organized,Fed us well and made sure we were hydrated. Safety was always a priority. Also gatorade was given out. I live in the Gonzales area and the plant was very close.,4.0,0,0,0,0,0
" June 9, 2020",Senior Control System Designer," Metairie, LA ","good place to work, people are friendly and good working ethics.","Have a good work place culture, help each other to get the work task done on time. the only bad for me is long distance driving to work every day. i would prefer 4 days work week.",4.0,4,3,3,3,4
" June 7, 2020",Supply Technician for the Life Sciences Division," Dugway, UT ",Great organization,"I love Jacobs, what they do and their ethics. Their vision, goals and mission statement are great and they have helped me out a lot. I am indebted for the care they showed me and Jacobs does care for their employees. Of course with everything In life, there is always room for improvement both organizational and personal. I highly recommend Jacobs as an employer.",5.0,5,2,4,4,5
" June 5, 2020",Senior Project Manager," Herndon, VA ",Difficult to say,There's possibilities for improvements within the company that need to be addressed immediately to stop from great engineers and great staff from leaving due to ineffective management.,3.0,2,3,2,2,2
" June 4, 2020",Inside Sales Operations Intern," Boston, MA ",Productive and fun workplace with good mentorship,I worked as an intern at Jacobs for two years. It was a great learning environment with a dynamic office full of employees willing to help new staff members navigate both the industry and the workplace.,5.0,5,5,5,5,5
" June 4, 2020",Safety Manager," Point Thomson, AK ",Worst company for safety professionals,"Jacobs basically torpedoed the company I worked for. They then attempted to lower wages with no explanation. The management stated that they wanted an inclusive atmosphere, wanting to utilize our safety professionals experience. Then slowly let go of key personnel.",1.0,1,1,1,1,1
" June 3, 2020",Pipe Insulator/ Bolt Up Hand/field Maintenance," Anchorage, AK ",punctual hard working,very hard working honest and comply with policy get along great with other co workers and always willing to go the extra distance and be a great team player,5.0,5,5,5,5,5
" June 2, 2020",Structural Design Technician Intern," Green Bay, WI ",Productive workplace,"Jacobs has a great culture of caring and has individuals who are willing to aid their workers in any way possible. For assignments, I would be given a set of drawings and tasked with creating them in 3D modeling software. They were easy to communicate with and get feedback on work.",4.0,4,4,3,4,5
" June 1, 2020","Manager, HSE"," Houston, TX ",Good place to work,"Great place to work throughout the 90s, lost some of this as they grew so large, but still have very few complaints. Safety was always a high value at jacobs.",4.0,4,4,4,4,4
" May 30, 2020",Engineering Technician," Houston, TX ",There is no stability,"Jacob's will lay you off quick. This is not for long term career advancement; once the work is gone, you're gone!!!! Jacob's will not keep you for future projects.",3.0,3,3,1,3,1
" May 22, 2020","Senior Survey Party Chief, Working as a One-man Crew",man Crew (Former Employee) ,care about the employee,"care about the employee until they run out of work, then its time to say good bye, not much else to say, these are for the good of the company...……...",5.0,5,5,5,5,5
" May 18, 2020",Process Engineering Intern," Long Beach, CA ",Difficult to Find Your Footing,Tough place for a first job; very little training; very little attention and care given to younger employees; multiple hours per day doing nothing despite asking for work,2.0,4,4,4,1,1
" July 17, 2020",Architectural Designer," Cincinnati, OH ","interesting place, fast pace enviroment, bad work load management","Large company, impersonal, difficult to advance career-wise. Good pay while they have projects, but they lose you as soon as work dries out - no regrets on management part.",4.0,1,4,2,3,3
" May 15, 2020",Warehouse Manager/Supervisor," Goose Creek, SC ",If you are part of the Good Ol' boys you'll make it,"In general you are paid well but if you are not billable then you get laid off andusually with-out notice. They will tell you they have years of work and then one day shut it all down with out warning.
They recruit you you then lay you off.",2.0,2,3,1,1,2
" May 14, 2020",Manager III Contract Performance Service," Hampton, VA ",Great team to work with/for,"Jacobs is the most ethical company I have ever had the opportunity to work with. During my about 12 years there, I was alsways asked to work safely, to delight the customer and to improve myself.",5.0,4,4,5,4,5
" May 12, 2020",Industrial Technician," Sacramento, CA ",Dont work here,"Lead Tech is a extreme micro manager making it a difficult place making it a difficult environment. Name calling ensued, making it worse. don't work here.",1.0,1,1,1,0,1
" May 11, 2020",JITC Prin Information Engineer Fort Meade MD," Fort Meade, MD ",Great Company,Worked for Jacobs for almost 2 years in JITC tasking. Great benefits and job growth. Excellent HR department and staff to assist me in my job endeavors.,5.0,5,5,5,5,5
" May 7, 2020",Rail Loader/ Switchman," Port Allen, LA ",Rat Race,"If yoy are looking for a job just for the time being well this is it. You cannot trust anyone and I mean anyone at this job. There is no loyalty towards the workers and management. I've seen guys with over 25 years of service with the company, get fired without any respect given.",3.0,4,2,1,1,1
" May 2, 2020",IT Service Management Service Strategy Lead," Scott AFB, IL ",Customer satisfaction driven,Excellent mid-management leadership. Genuine concern for each employee. Focused on a strategic plan with tangible customer deliverables. Notable teamwork with recognition of accomplishments.,5.0,0,0,0,0,0
" April 30, 2020",Intelligence Analyst," McLean, VA ",Most supportive company i've ever worked for,"i've had nothing but amazing experience with this company. Management is super supportive, extremely helpful (they only want what's best for you) and encouraging.",5.0,4,4,5,5,4
" April 29, 2020",Operator," Bisbee, AZ ",Great Company,"Great Company to Work for, just needed to find a different location to work at. Needed a different experience and work location than was available to me at the time.",5.0,5,5,5,3,5
" April 29, 2020",Sr. Enterprise Architect," Hurlburt Field, FL ",Difficult,The customer was abusive and management only cared about making them happy. Manager was also short fused at times. The job got better after the direct customer was kicked off the team as the new boss didn't like him.,3.0,4,3,3,3,3
