date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" October 17, 2019",Tech Lead / Systems Engineer, OCONUS ,Great company to work for,Leidos is a great company to work for. My supervisor always kept in contact with me and provided prompt feedback for evaluation reviews. The culture and workplace environment was always pleasant. My supervision recognizes the tech team's potential and rewards on merit earned within my team.,5.0,5,5,5,5,5
" July 20, 2020",Logistics, United States ,Ok place depending on location,"Training in your actual job is lacking. Seems like they throw you in the water to swim sometimes without any basic knowledge you need to successfully make it across the pool. Lots of micromanagement and oversight and guilt is felt if you need to work remotely, even during COVID. The only reason they allowed it is due to the CEO dropping the hammer and forcing it because of state mandate.",3.0,4,3,4,2,1
" July 15, 2020",Engineer," Orlando, FL ",Ok,"Ok for bigner . Is a good start
Judt to start in the work .goid to start as a bigner to learn basic job requirement.
Need improvements
Need update
Need new worker
Need more technical help",2.0,2,2,2,2,2
" June 27, 2020",Administrative Assistant," Frederick, MD ",Terrible place to work!,"Unless you are a part of the clique, you will never be treated fairly. There is a lack of strong leadership, and they will not promote anyone that does not look like they do!",1.0,1,1,2,1,1
" June 25, 2020",Analyst," Reston, VA ",Horrible management,"Management had no clue what was going on within projects or lacked experience to be in the position to lead a project.
CEO has open door policy which is the only other good thing besides the flexibility.",2.0,3,3,1,1,1
" June 20, 2020",CBRN Technician, Undisclosed ,"Good company possibilities, but no oversight of contracts","Big Leidos:
Working for Leidos has really good potential, IF you can get in. The Leidos corporation offers methods and opportunities for career advancement, education, and getting recognized for your work. The problem is that Leidos is a company that doesn't believe in responding to applications, if you're not best qualified (including internal ones!). So you'll just be sitting there wondering what happened or if you were even qualified or not, without the opportunity for an interview, so make sure your resume is TOP notch!

Compensation and benefits are pretty generous with Leidos for contract work; not many contracting companies offer such a good deal. Leidos definitely needs more oversight in their contracts. If they did, I'm sure several people would no longer be working. But big Leidos doesn't seem to be anywhere to be found, even after company surveys revealed poor management and low employee satisfaction.

Contract Leidos:
Work/life balance is great, with great flexibility when you need time off, but again, not sure if that's Leidos in general or just the contract I'm on.
Although Leidos offers ways to get recognized through bonuses and such, you have to first have a manager that actually ""manages"" and cares about his people and their reputation and careers. Instead you get more and more responsibility, without any advancement; so you'll just sit at the same level you were hired, with twice the responsibility.

Unfortunately the good ole boys network supersedes all here because we are so far removed and hidden from the company. If you're one of the good",3.0,5,4,2,1,1
" June 16, 2020",WPC Data Center Manager," Hillsboro, OR ",Second rate government contractor,"I would not recommend working for Leidos. Its been successful in the past mainly due to the commitment of their people who in many cases have been in government contracting for many years and are committed to government support and service regardless of insufficient pay, time off, benefits, or any kind of work/life balance. There isnt much work/life balance in their contracts, particularly with the Army Corps of Engineers. Pay is ok for management but benefits are horrible and expensive. Management offers zero support to ensure mission success. Its one of the worst companies and working environments I've ever worked for.",2.0,1,2,2,2,2
" June 7, 2020",Software Engineer (Intern)," Beavercreek, OH ",Flexible schedule and many oppurtunities,"As an intern, it wasn't always made clear what my task and purpose was. Often times the rest of the team were on travel and I was left to work alone in the office. This would have been fine had I been given tasks to complete rather than left to look for work.",3.0,5,3,3,3,3
" June 3, 2020",Lead Database Engineer," Orlando, FL ",Leidos operates in many different industries. That provide career advancements or experiences to employees,Great company to work for if you are interested in solving problems that impacts various industries. the company provide avenues for advancement and i believe compensation is very fair.,5.0,5,5,5,4,5
" May 29, 2020",Resource Manager/ Deployment Manager," Alexandria, VA ",Amazing!,"Leidos is a huge advocate for work/life balance while still maintaining a high standard across the industry. For it to be such a big company, you still feel like you're apart of a close knit family.",5.0,5,5,5,5,5
" May 26, 2020","Subcontract Administrator, Senior Staff", Virginia ,Compensated and appreciated with high expectations,Pay and praise were never an issue but a lot of work and time was necessary to keep up with workload which wasn’t an issue until personal situation requiring attention led to a choice to leave to allow a full time replacement,5.0,2,4,3,5,4
" May 5, 2020",Salesforce Administrator, Maine ,Productive,Diversified and fun place to work with all employees seeing each other as a family. The working environment was built for employees comfort and interaction.,5.0,5,5,5,5,5
