date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" September 24, 2018",Security Control Assessor," Washington, DC ",Productive environment,Great place to work. Great training and mentors. Easy commute and strong government cyber security presence. Learning is part of the ManTech experience. leadership is always helpful,5.0,5,4,4,4,4
" July 20, 2020",Specialist," Herndon, VA ",Fulfilling Opportunity,"I love my job and the people I work with. At ManTech, we have so many opportunities for professional development, like tuition reimbursement, training and a mobility program. I plan to stay at ManTech for a very long time and I really appreciate the way that they've handled COVID-19 precautions (I've been working 100% from home since March with no plans to return any time soon).",5.0,5,5,5,5,5
" July 16, 2020",Associate, Virginia ,People do not matter to this organization,People do not matter - it is all about the organization. If you need a job - work for them only to gain experience or buy time to look for a good job.,1.0,1,1,1,1,1
" July 9, 2020",Deputy Program Manager," Austin, TX ",They are focused on their employees,ManTech makes an effort to support their employees with various programs. They are happy to have you learn new skills and will help you with new jobs and challenge within ManTech,5.0,5,5,5,5,5
" July 9, 2020",Information Security Specialist," Washington, DC ",Good Tech Field Entry Point,"ManTech is your typical government contractor. The bid on lowest possible acceptable offer so don't expect to get paid nearly what you are worth. Also don't expect any upwards mobility unless new contracts get won. On the bright side they are a larger company and win contract fairly often. That are also an amazing entry point for getting into the tech field right out of school. They will assist with training and they will be more than happy to sponsor you for a clearance which will set you up for bigger and better things. They have been around a while so they know how to play the contractor game. The work may get mundane at times but corporate treats you well even if they under pay you. Even if you leave to somewhere else, once they have a contract to pay you well or promote you their recruiters will follow up to try and bring you back.",3.0,1,1,1,1,3
" July 7, 2020",Shipping and Receiving Clerk," Charleston, SC ",Very laid-back very disorganized,Very laid-back very disorganized Made to work long hours weekends holidays no time off for friends and family takes a vantage of people who are in need the people there don’t care about you at all all they care about is the bottom line,1.0,1,1,1,1,1
" June 23, 2020",Technical Recruiter," Herndon, VA ",Positive work environment,"Great place to work as a recruiter. Management values ideas for process improvement and change. Great work life balance, supportive team, enjoyable office environment",4.0,4,3,4,5,4
" June 19, 2020",Sr. Financial Analyst," Stafford, VA ",No or poor core values,Allows fraternization between coworkers. No ethical stantards in this company. Worse company I have worked with. Always looking put for bottom line and not ethical standards.,1.0,1,1,1,1,1
" June 10, 2020",ISSO," Hickam AFB, HI ",ManTech has many to offer,"The position I was in was a solo Mantech position for a certain location. The pay was really fair for the location I was in. The benefits were outstanding. Had all that I need plus more, such as military leave and full tuition paid for.",5.0,5,5,4,4,4
" June 5, 2020",Technician, South Carolina ,Productive day at work,Just like the TV show The Office I do work in a cubicle. I spent most my days going through emails and answering work ticket calls. My responsible is making sure Technical Support is provided to certain sites. The hardest part of the job is coordinating and making sure technicians get to the designated site to do repairs. The most enjoyable part is when I call the customer to check on the work and the job is completed to their satisfaction.,4.0,5,4,4,3,4
" May 28, 2020",Cyber Security Specialist," St. Louis, MO ",Excellent education benefits,"I have worked for several contractors in the past 8 years. So far, ManTech International rates among the highest, in my personal opinion, in education benefits and employee support.",5.0,5,5,4,4,4
" May 27, 2020",Handyman," Jonesboro, AR ","Hard work, but very satisfying","Mantech is a family business that involved a lot of physical labor to do a tough job. However, the work always educating as there was always learning oppertuites throughout the day.",3.0,4,3,3,4,4
" May 8, 2020",Senior Technical Writer/Editor," Washington, DC ","My manager was the worst I have ever had in my 30-year career. All he did was criticize, cut me down verbally and degrade me.","I was not given any indoctrination to my job. No one offered me help or advice when I first started. I had to search and ask for the appropriate documents after being on-site for 2 months. There was no guidebook, instruction, or SOP for my position. I worked for a tyrant of a boss who changed his mind every time a document was reviewed. If you couldn't get into the boss's mind you were screwed.",1.0,1,1,1,1,1
" May 8, 2020",Logistics and Scheduling," Cocoa Beach, FL ",Contracts,"You live and die by the contracts. If a contract is lost, so is your job. The company does nothing to incentives the employees that might come from the bottom line",2.0,3,2,1,1,2
" April 26, 2020",Field Service Engineer (FSE) Supporting the CECOM LCMC Software," Fort Drum, NY ",Great place to work!!!,I had no issues working for this company and will work for them at anytime and any place. The management was great and took care of the employees. I recommend anyone to work for this company.,5.0,5,5,5,5,5
