date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" July 1, 2020",E-tech,tech (Current Employee) ,lot of work. Expect too much from employees without much pay,its good but could be lot better. They dont incentive employees may be because of poor employee unions. There is no HR on sites. Salaries could be lot better.,3.0,2,2,5,2,2
" May 15, 2020",Warehouse Worker/Delivery Driver," Ft. Irwin, CA ",Not a company for you unless you are in their buddy system,Worked for this company for 7 years..received a job offer closer to home which ended up not to my liking so when an opening for my old position opened i put in for it..Yet wasn't even considered and had no negative issues while there..Figured that would happen since the buddy system is real big in the dept I worked for..Company should pick better managers,1.0,1,2,1,1,1
" May 8, 2020",Administrative Assistant 5/Contractor," Patrick Afb, FL ","Productive, Fast-pasted, Team working environemnt","Peraton offers many benefits to their employees and has the ""do what cannot be done"" attitude. I work with a team of professionals that, as a whole, have been working together for over 15 years and I continue to learn from them everyday. We have a great management team that always supports and will come to our defense when needed.",5.0,5,5,5,5,5
" May 5, 2020",Research Analyst," San Diego, CA ",Job Security,Overall a great company to work for. Good benefits competitive pay great work environment. Management is good at certain levels not all. Travel in my particular position is a must.,4.0,4,4,4,3,4
" March 10, 2020",Systems Analyst, Virginia ,"Good workplace, somewhat transitional","Most times there is something useful to do for the customer on a daily basis. Invariably, we are encouraged to master new software. Management is generally encouraging of individual accomplishments. Hardest part sometimes is not knowing some of contract future events. Most enjoyable part is helping people grow and learn.",4.0,3,4,3,2,3
" March 6, 2020",Technical Trainer III," Sterling, VA ",Technical Trainer contract,Federal contract to instruct overseas. Support for workers was poor. I expected more but Peraton lost the contract. The benefits were horrible. Bad FSA plan.,3.0,3,2,3,3,2
" February 27, 2020",Customer Service Representative," Herndon, VA ",Hard Driving Successful Old Start-Up,"Off-shoot of Harris - very diverse and full of hard workers. Great vacation benefits, IF you can take the time off = super busy. Medical and dental coverage could definitely use some improvement.",3.0,4,3,3,3,3
" February 24, 2020",Manager," Herndon, VA ",Management Has Little Care About Empleoyees,"This company likes to make employees work over 40 hours (with no compensation because of being exempt) and it seems expected with no end in sight. They will pile multiple projects on top of each other and still expect the normal daily work to get done. It ends with projects or the daily work suffering, rushed results, not well thought out which leads to more re-work. Frustrating

to fix it",2.0,2,2,2,1,3
" February 17, 2020",TASK MANAGER (IT PROJECT MANAGER)," Philadelphia, PA ",Offsite Peraton Office,Work is challenging and the group is good. I worked at the Philadelphia office. Their headquarters is in Virginia. This company works on contracts for the Navy. Contracts are usually 5 years.,3.0,5,2,2,4,4
" January 19, 2020",Field Service Engineer," Philadelphia, PA ",wasn't able to draw a conclusion,This company lost the government work as soon as I was hired. the weren't able to staff all the work that the airports needed in the time needed. Everyone hired was let go,3.0,3,3,3,3,3
" January 2, 2020",Flight Specialist II, CONUS ,"Long Hours, Excellent pay.",The job is what you make it. There are multiple sets of skills on display by various co-workers. Participate in every aspect of operations and everything else will take care of itself.,4.0,2,5,5,4,4
" December 23, 2019",Network Technician / System Administrator," Schriever AFB, CO ",Upward Mobilty is Excellent,Great place to work. The potential for promotion is achievable if you put in the effort and time. The people are all team players and extremely professional.,5.0,5,5,5,5,5
" December 18, 2019",Senior Software Engineer," Herndon, VA ",Decent Company,"It is a decent company to work for provided you have the right manager. Salaries are on the lower side but if you love the work, they have great benefits.",3.0,3,3,3,1,3
