date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" April 9, 2020","Independent Contractor, Special Investigator"," Loveland, CO 80538 ",Integrity and Quality,Integrity is a value that is help to the highest standards when it comes to conducting interviews and presenting the interview in professional report writing. The quality of that work will be reviewed and analyzed by others to determine the outcome of one's security clearance.,5.0,5,5,4,5,5
" July 4, 2020",Team Lead," Chantilly, VA ","Not a family company, just another prime contractor.","As soon as I angered off the manager because I did not receive the raise that was verbally promised, she stood behind ""if you don't have it in writing, it doesn't count"" defense. Not a good company to work for.",1.0,2,3,1,1,1
" July 4, 2020",Cyber Security Analyst," McLean, VA ",Bad company. This company has gone through so many different names because leadership is a failure.,"This company don't stand at any level to other companies in it's class. That's the reason they have lost so many contracts
Management and upper leadership leadership is terrible. Stay away from this company",2.0,2,3,1,1,3
" June 28, 2020",IT Specialist," Cleveland, OH ","Growing pains, but overall a good company",Growing company with very interesting and challenging jobs. Perspecta is committed to personal career growth. Hires top-notch people committed to serving our DoD with integrity.,5.0,5,5,4,5,4
" June 24, 2020",Reviewer, Remote ,Poor management from the top down to first level supervisors,Review managers are uneducated for the most part and don’t work half as hard as they say they do. Favoritism is rampant and discourages anyone not in their clique to really have a feeling of belonging or hope of job growth.,1.0,2,1,1,1,2
" June 18, 2020",Special Investigator," Belleville, IL ",Great,Great company to work for. I enjoy the flexibility you get from working from home and controlling your own schedule. There is a learning curve with producing quality reports.,5.0,0,0,0,0,0
" June 3, 2020",Strategy Consultant," Richmond, VA ",Growth and innovation mindset,"Company is focused on their employees. They want you to succeed. They invest in making you as successful as you can be.

It is a new company with a strong focus on growth and innovation.",5.0,5,3,4,5,5
" May 29, 2020",Information Assurance Analyst," Norfolk, VA ",Great first and last job,"Perspecta is a great place to get your start in cybetsecurity and a great lats place to work either before or after retirement.





There is nothing else to say must meed character requirement for no good reason",4.0,5,4,2,4,4
" May 29, 2020",Technical Recruiter," Fort Gordon, GA ",Great place to perform and be recognized,"Young company less than 3 years old that's doing well especially as a partner with the government. 8 hours work days that can be flexed, Peers and manager foster a great work environment and promotes team work. Company is military friendly.The hardest part of my job is finding highly cleared people to fill positions However it rewarding know you shared in the decision making process.",5.0,5,5,5,5,5
" May 27, 2020",IT Support Specialist," Pentagon, DC ",After 6 months they will not hire you.,"After 6 months they will not hire you.
You are not trained when you get to your location. There is no training program, you have to make sure you learn as much as you can on your own.",1.0,1,1,1,1,1
" May 18, 2020",System Team Lead," San Diego, CA ",NGEN contract lost,"The company lost the NGEN contract, the environment changed as soon as the company has lost the contract. Management is trying to finish everything that we started.",4.0,2,2,3,2,3
" May 15, 2020",Special Investigator," Seattle, WA ",Great independence,"Pay is terrible. Must work unpaid OT to meet quotas. Very much a feeling of just a number. On the other hand, I really enjoyed the job. There was a large layoff 2 months after my start date and again at 11 months. I survived the first layoff but not the second.",3.0,1,1,1,2,2
" May 5, 2020",Data Integration Developer," Plano, TX ",Productive work environment with long hours for me,"No Job security due to acquisitions\mergers you are always in transition. Even though you are hired as a permanent employee, you are a Consultant who has to move from project to project when it finishes. You can accrue your vacation from year to year, which is a positive since I could not take mine due to long working hours.",3.0,2,1,1,3,3
" May 4, 2020",Network Engineer," Irvine, CA ",Very risky and known for layoffs/ job cuts,I worked hard and done all i can to save the company money. But i was discriminated on and mistreated over my disability and skin color. While still working harder and more efficient than co-workers. People whom do less work and brown nose are known to be shown favoritism and treated better. Regardless if you are a go to person and fix everything. Take this as a opportunity to get a better job. No high retention here.,2.0,2,2,1,2,2
" May 4, 2020",IT Support Specialist," Norfolk, VA ",Average business,"As a contractor, they ask if you are okay with mandatory overtime. What you don;t realize is they have had mandatory 10 hours of overtime a week (2 hours per day) for the last 8 or so months. So instead of th e40 hour work week, it adds up to 50.",3.0,2,3,3,3,3
" April 27, 2020",Project Manager," Plano, TX ",Nice place to work,"Before my office went to ""mostly remote"" there was sense of team and fun... with weekly lunches and different events throughout the year. Some of those things continued even after switching remote work.",3.0,4,3,3,3,3
