date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" July 13, 2020",Associate," Albuquerque, NM ",Leanr something new,Working here has its pro and cons. Some days its stressful and some days is ok. The pay rate is good. Lunches and breaks are short. Learn Something new everyday at work.,4.0,4,4,4,4,4
" July 15, 2020",Plant Associate," Farmington, NM ",Productive place to work.,"It was a great experience for me to have worked for Raytheon. I enjoyed what I learned and gained from this employer, it was a nice enviroment to be in.",5.0,5,5,5,5,5
" July 13, 2020",Project Manager," El Segundo, CA ",Flex hours,"Racism is there. If you are managers friend then you are in good hand whether are the lowest performer in the organization. Some of the managers are very incompetent and also they hire incompetent employees because they are of the same color, church friend or relatives fried irrespective of if they really are fit for the job",3.0,3,2,1,1,3
" July 6, 2020",Sr Technical Support Engineer III (A03)," Marlborough, MA ",Alex review,"Overall a great place to work. Training is good, career advancement competitive, flexibility great, salary good. Overall compensation very competitive. Great social programs,",4.0,4,5,4,4,3
" July 2, 2020",Retired," Andover, Woburn, Global ",Global opportunities are good if willing to work overseas after gaining product product experience,"A good place to work for the employee just out of college for the first 5 years. After that, especially being a Black American, it may be time to look elsewhere , if you are looking for advancement or promotion. If you are just looking for a secure future with little to no promotion or advancement as a Black American, then this Company would be a GREAT fit for you. The company does promote Black Americans, after they can prove they can actually walk on water and part the red sea. I was promoted twice in 18 years while being a 100% fully ""Company Man"" for the first 13 of those years. Then the light bulb came on.",4.0,4,4,4,3,3
" July 2, 2020",Security," Woburn, MA ",Stable company. Watch out for backstabbers.,"There’s drama and personalities at all companies. For the most part, it’s non-existent at Raytheon, but it does exist. Raytheon pays well compared to others and has a decent benefits package.",4.0,4,5,3,2,4
" July 2, 2020",Contractor," Centennial, CO ",Enjoyed Raytheon,"Enjoyed my work learned a lot about Antartica
Would return there to work - really had a good time there

worked with people all over the world, enjoyed those conversations and learning experiences",4.0,3,4,3,4,4
" July 2, 2020",Shipping Clerk," Nashua, NH ",Terrible,"If you want a job that's going to suck the life out of you, managers that could care less about your personal well-being or family issues, or supervisors that threatened to get you fired or tell you to go home and kill yourself then this is a job for you. The employees are some of the most arrogant and self-righteous people I have ever met. I was in shipping and receiving at the Nashua branch. Unless you are single and not planning on having a family and dedicating you life to a company that will easily toss you aside then this is the place for you.",1.0,1,1,1,1,1
" June 16, 2020",Mechanical Engineer," Tucson, AZ ",Review,"Work at Raytheon is interesting. There are many opportunities. However, it’s very political and budgets are slashed all the time. Then, you are left to wait for the next opportunity until one opens up again. This cycle never stops. Truth",3.0,4,4,1,1,1
" June 15, 2020",Sr. Field Engineer II," McKinney, TX ",Productive,"Excellent place to work. My salary is confidential. Sorry my salary is none of anyone’s business. I can’t believe people ask or tell their salary. Your talent and experience is evaluated to the job requirements. Know your worth, do your do diligence. Then negotiate your worth. Your salary is private, unless you want to alienate others. Thank you!",5.0,5,5,5,5,5
" June 13, 2020",Senior Electrical Engineer," Tucson, AZ ",Best job I ever had,I worked at Amazon and Apple. Both times I was a senior firmware engineer but the jobs were something a junior engineer at Raytheon would do. At Raytheon I learnt about Radar and Controls and Communication theory. At Apple I did LED lighting and at Amazon I did the Dash Wand and Dash button. The pace of work at Raytheon was just right. It was a sustained rate. At Apple and Amazon it was farm or famine. Work like crazy and three months go without doing anything.,5.0,5,5,5,5,5
" June 11, 2020",They never told me," Tucson, AZ ",Check into company throughly,"I felt the company did nothing for me as an employee. The programs supported me very well but couldn't break through that mess they call the functional. IF you are interested in working here, be very careful and read ALL documents carefully. I would never go back to this company as Raytheon, however, things could be changing now that they are Raytheon Technologies. I was extremely bullied and Human Resources did nothing even when I talked to them. All they would say is quit. In light of things maybe that's what I should have done sooner.",1.0,3,1,1,1,1
" June 11, 2020",Troubleshooter," Largo, FL ",Micromanagement,No training plans. Your on your own when it comes to training. The manager was out of work for about a month. He did not have a clue as to my performance. The person who was suppose to train me was more worried about meeting his work quota then training.,1.0,2,1,1,1,1
" June 11, 2020",Contractor," Farmington, NM ",More info,The company was and is a great place to work I learned so much working there they certify you in everything. They moved me around different areas of the plant and had me trained and certify in everything for that area,5.0,0,0,0,0,0
" June 7, 2020",Sr Systems Engineer," Honolulu, HI ",Great Mission and people,"Absolutely great team of individuals I work with, the workplace environment is very professional, and is very supportive of personal and professional growth.",5.0,5,5,5,5,5
" June 5, 2020","Subcontracts Manager - Supply Chain, Missile Systems"," Supply Chain, Missile Systems (Former Employee) ",RMS - Supply Chain is your worst nightmare,"Found Missile Systems, specifically Supply Chain, to be horribly managed from the V.P. level down. You always have the impression their priority is their bonus, nothing else mattered as they continued to demand more and more work with fewer people.

They were slow to replace people when they quit and more frequently opted not to because they wanted to skew the numbers to make their bonus. The culture is toxic and the high attrition rate is the result. There are a few people that have been there for years and are willing to help but more often you’re thrown in and no one has time to help you so you drown at your desk until you just decide to leave. Nepotism runs high and definitely is a “who you know” environment. Also the constant Reorgs were ridiculous and added to needless work and lack of continuity.

The best thing I can say about my three years there is I did meet some wonderful people that will remain lifelong friends. It saddens me to hear the toxic environment has gotten worse, I didn’t think that was possible. If you are choosing between a few offers and RMS is in the mix, I’d think long and hard about your decision. They promise the moon and up sell the every other Friday off but you’ll find you’re expected to work them, please don’t let that be the carrot that lures you in. The pay may be high for the Tucson area but is WELL BELOW the industry standard, do your homework and ask yourself if the pay is worth 12+ hour days (several weekends too). The attrition rate is high for a reason, Senior Leadership is motivated by greed, sadly that creates a high",1.0,1,1,1,1,1
" June 4, 2020","Principal Ops Specialist, Six Sigma"," El Segundo, CA ","Raytheon has a great vision, but leadership is horrible. It is still a male dominated industry with a lot of politics involved","Raytheon has aa great vision and great technology. The failure is on the way leadership is allowed to treat their employees. Its a very volatile and political work environment. Diversity when it comes to LGBTQ is forced on employees, they say they value women employees but if you really look at the structure, it is still an old boys club. No loyalty to their hard working employees.",2.0,3,2,1,1,1
" June 4, 2020",Senior Global Virtual Training Systems Manager," Orlando, FL ",Great team,"Working to support the war fighter was a privilege.

Unstable DoD contracting unfortunately. One anchor program that we lost the follow on. They needed to be more robust in their BD activities.",3.0,3,4,2,3,3
" June 3, 2020",Engineer," McLean, VA ",Great Mission/Horrible Leadership,"Raytheon is a great overall company to work for. The pay is not bad at all and the benefits/resources are good. The management is horrible on the contracting side, and they look out for each other.",4.0,3,4,4,1,2
" June 2, 2020",Internal Communications Specialist," El Segundo, CA ",Can be a stifling environment. Cool technology but cut throat business. SAS division has very poor leadership.,"Not a good experience. Constant chaos in Communications team due to petty and vindictive VP. Not friendly to people with disabilities. Some great employees/ co-workers and amazing technologies being developed, so I had peer support and was always learning.",2.0,2,4,2,1,2
" May 28, 2020",Manager," Tucson, AZ ",No Escaping the Matrix.,Inflexible work system with constant employee movement throughout and across programs due to the matrix construct. Functional managers are attempting to fill the gaps caused by constant shifting personnel and program requirements.,3.0,3,4,3,3,3
" July 13, 2020",Associate," Albuquerque, NM ",Leanr something new,Working here has its pro and cons. Some days its stressful and some days is ok. The pay rate is good. Lunches and breaks are short. Learn Something new everyday at work.,4.0,4,4,4,4,4
" May 26, 2020",Expeditor/Buyer," Andover, MA ",Not loyal to employees,It is who you know to move along and stay employed I was replaced in 1996 due to a take over by Raytheon then they had a strike and called be back to be layed off again at strike settlement I refused the offer,3.0,3,4,2,2,2
" May 21, 2020",DOMino Program Cyber Operations Manager," Sterling, VA ",Great place to work with lots of opportunities both domestic and internationally,"Worked on a Government contract. Customer is difficult to work with an does not easily accept change.

Time at Raytheon has been challenging. Day I started the position I was hired for was cancelled due to a reorganization.",2.0,2,3,2,2,2
" May 21, 2020",Senior Cyber Engineer II," Richardson, TX ",Merger Uncertainty,Good company with a large technology portfolio and a lot to teach employees but the management is sub-par and the merger brings uncertainty and their telecommute policy forces you to live in the same city as the job posting,4.0,4,3,3,1,2
" May 20, 2020",Subcontract Manager," Tucson, AZ ",Innovative company with many career paths,"Raytheon provides a wide variety of career paths for practically all facets of the business whether it be supply chain, engineering, finance or any other organization. Benefits are very standard and similar to Boeing, Lockheed, and Northrop. High deductible medical, FSA, front loaded PTO, reasonable dental/vision, on-site medical, etc. Front-line management is usually very helpful and caring of its direct reports. Middle to upper management is present but detached from the nitty gritty operations but willing to assist and listen when help is truly needed in order to accomplish goals.",5.0,5,4,5,5,5
" May 18, 2020",Desktop Publisher/Desktop Publishing Specialist," Aurora, CO ",Exciting and productive,A very good place to work. The work environment is fast-paced and exciting. Never a dull moment. Managers are interested in the well-being of workmates.,5.0,5,5,5,5,5
" May 18, 2020",Software Developer Intern," Austin, TX ",Great place to intern at!,"I really enjoyed working at Raytheon during one of my summer internships. They asked me what I wanted to get out of this, and for me I wanted some industry experience. I wanted to know how school life vs. work life will differ once graduate. It was great, they had me setup feedback sessions with team members on the stuff I worked on, and provided an open door for any questions I may have. I really enjoyed working here, they made me feel like I was on the team and not just the intern!. I recommend anyone looking for an internship to try here!",5.0,5,5,5,5,5
