date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" July 4, 2020",Computer Operator," Ghorashal, Palash, Narsingdi ",It is a quiet environment. Everyone here is very friendly,"By working here I have learned a lot, which will help me for my future job. My work was very systematic. All the staffs finished their work beautifully. This job has created a very positive thinking for me.",5.0,5,5,3,4,5
" July 11, 2020",Procurement Operations Manager," Englewood Cliffs, NJ ",Massive gender and race issues,"Never in my life did I expect to be made to feel like a lesser individual until I worked at Unilever. I am a high performing white female who was driven out of the company by male, non-white peers and leadership. I reported this to my line manager and HR multiple times without any action taken.",1.0,3,4,2,1,1
" June 27, 2020",Machine Operator," Jonesboro, AR ",Inexperienced Leadership Hurts Performance,"Last 5yrs leadership is horrible, the blind leading the blind which affects overall moral. Bonus pay is a complete JOKE and calling it such is an insult compared to other companies. High turnover in front office and production floor which should raise questions but corporate dosen't seem to care.",3.0,4,2,2,1,2
" June 26, 2020",Logistics Analyst," Trumbull, CT ",Flexible hours,"They are very flexible when it comes to work from home. Good managers. They offered free training and courses.
Team work oriented. In my experience I had a good relationship with the managers as well ex-coworker",5.0,0,0,0,0,0
" June 19, 2020",Machine Operator," Jonesboro, AR ",They don’t care about their employees,"I wouldn’t recommend working at unilever if you have pride in yourself and your work
Management won’t support you.
Managers don’t hold people accountable",1.0,1,1,1,1,1
" June 19, 2020",Maintenance Planner," Covington, TN ",Location,"This would be the perfect job. Areas that need attention: training, inclusion, and transparency. There is a need to be more salaried competitive in their technical employee search.",4.0,4,4,3,3,3
" June 9, 2020",Reliability Technician," Sikeston, MO ",Good place to work,always hiring. good place to work. Strict on attendance but decent on pay and advancement. Management always changing supervisors. Strong believer in women and minorities.,4.0,3,4,4,3,4
" June 8, 2020",Accounting Assistant, Accounting dept ,"Fun work place, Team players",I was working with a new accounting software package and I love a challenge.. Matched PO with receiver's and than with Invoices. Processed for payment . Talked to vendors .,5.0,5,5,5,5,4
" June 2, 2020",Revenue Analyst, Connecticut ,"Fun workplace with ice cream, many games, and good coffee",It has been a long time since I worked here and my time was short until I received a better opportunity so I don't think it would be fair to add a detailed review as things likely have changed,3.0,0,0,0,0,0
" May 27, 2020",Crew Member," Sikeston, MO ",Great work,"Great opportunity to learn new skills and work with others,,I didn't really acknowledge anything I had problems with white working for this company for the extensive time I spent there..",4.0,4,3,5,5,5
" May 22, 2020",Manpower," Sikeston, MO ",It’s a good place to work when you working the the company,I love it just not enough money for manpower employees. You do the same work as everybody else you just will get paid less. You also don’t get the chance to do a lot of the other stuff since your manpower,3.0,5,2,5,2,4
" May 20, 2020",Industrial Finance Business Partner," Chicago, IL ",Good,Good place to work. Nice people with great knowledge and dedication to service. Clear business direction and communication with purpose being environmentally conscious.,4.0,2,4,3,3,4
" May 14, 2020",Weekend Receptionist," Denver, CO ",Love,"Loved working for them it was fun and self worked. But all time great. People are great, one a hold of it easy work. And you are alone in the field but never alone. Having a whole team behind you helps alot",5.0,5,5,5,5,5
" May 12, 2020",Package Handler," Chicago, IL 60623 ",friendly enviorment,"communication good they have good work ethic
keep enviorment clean they need to be more clean in work places
they need to reduce the amonut of things left out",4.0,4,4,4,4,4
" May 11, 2020",Executive Chef / R&D Advisor, MA ,Ongoing learning and advancement,One of the best career jobs I’ve had. I loved traveling and meeting other chefs from the world. Great work culture. Their system allows you to keep learning and advancing. I recommend it to anyone.,5.0,5,5,5,5,5
" May 8, 2020",Material Handler/Forklift Operator," Jonesboro, AR ","Benefite are not good, and the only people who advance are the people who kiss butt.","Benefits suck, and the only way to advance, is by kissing butt. People who work hard do not get anywhere...............................................",2.0,2,1,1,1,2
